,FIPS,County,State,HWBI_Score,C2N_Bio_Score,CF_AP_Score,Economic_Capital_Investment_Score,Economic_Consumption_Score,Economic_Employment_Score,Economic_Finance_Score,Economic_Innovation_Score,Economic_Production_Score,Economic_Re_Distribution_Score,Ecosystem_Air_Quality_Score,Ecosystem_Food__Fiber_and_Fuel_Provisioning_Score,Ecosystem_Greenspace_Score,Ecosystem_Water_Quality_Score,Ecosystem_Water_Quantity_Score,EDU_BE_Score,EDU_PA_Score,EDU_SED_Score,HEA_HC_Score,HEA_LEM_Score,HEA_LB_Score,HEA_PWB_Score,HEA_PMHC_Score,Domain_Score_x,LTM_AP_Score,LTM_TS_Score,LTM_WAA_Score,LST_BN_Score,LST_INC_Score,LST_WEA_Score,LST_WRK_Score,SAS_ACTS_Score,SAS_PERS_Score,SAS_RISK_Score,Domain_Score_y,SC_ATC_Score,SC_DME_Score,SC_FAM_Score,SC_SENG_Score,SC_SSUP_Score
0,40151,Woods,Oklahoma,55.161194,34.7207638,69.82978987,59.19925958,52.80500786,64.80107709,48.37266919,46.5411119099999,49.12128983,51.44687565,90.0,44.7466670499999,43.5678075499999,67.39049941,37.8210632799999,61.04750247,52.31217469,59.35198026,59.8249004,49.78698348,54.82686223,74.17648203,69.11925996,49.7189539637702,48.7152727,46.01020448,54.43138471,65.53497535,54.85640993,35.55811941,58.39563414,68.65213325,80.90909091,42.79420802,58.4082047311176,62.32369195,53.30243927,50.73862084,62.57853999,63.0977316
1,21063,Elliott,Kentucky,53.100766,84.78135263,34.33536852,57.9399954399999,50.85965582,50.0723661999999,43.92957951,45.57973357,51.6719316599999,48.28463673,88.92497543,38.1809654899999,41.52162597,65.3121886699999,51.3447474999999,65.43591873,46.03052315,56.04674183,61.58704833,50.04904531,59.32150799,67.19569399,65.62862312,49.8945178493968,51.21789167,46.79209196,51.67356991,49.72672503,41.15198648,43.29119319,57.39236625,77.00569952,45.55555556,43.02679424,48.5326542120443,57.94704346,49.27512572,47.23570513,50.17350504,38.0318917
2,25003,Berkshire,Massachusetts,50.232821,57.36498253,45.13899597,59.2072429199999,51.99976749,61.05842922,45.8034961899999,40.58450655,51.34588224,30.0691978499999,39.1010168199999,36.9413707699999,44.1012244599999,44.87282664,59.09001877,33.31083576,44.55279648,38.16671821,56.28459374,51.967558,56.26847668,63.4657506,67.91833151,56.0744429433538,62.58121054,46.11114614,59.53097215,54.21109517,58.7977544,48.8009074,48.36216244,66.2460422,62.81553398,43.13966246,40.4459376830605,45.33982352,43.46153424,35.07486623,31.32205617,47.03140826
3,29041,Chariton,Missouri,52.413235,20.82338596,68.8581486,59.4562026899999,52.9958784499999,61.5781231599999,47.60882299,46.7912888099999,47.81247392,53.54565455,88.98993443,38.99250569,48.53527626,65.7483517499999,50.82584276,71.7052068,61.52590101,60.00728105,68.94903848,49.78978836,58.22878974,65.22760254,59.91446144,46.9584387509763,48.03580683,44.3898495,48.44965993,53.44021812,57.33621294,42.88712631,52.92385814,74.63495184,74.61538462,43.26074327,65.5786192319857,78.66753444,58.44368478,54.32597369,76.72630507,59.72959818
4,08103,Rio Blanco,Colorado,48.078107,10.0,60.48957931,58.50775404,52.22232438,63.52758034,50.7285763599999,36.44637327,48.58431551,54.80937157,90.0,43.0388311099999,44.9214722299999,61.22771593,62.6086526699999,73.40173346,65.7701018,65.60567981,59.64737196,50.48483653,55.7596188,43.52193516,70.6302132,46.357780664786,52.60492607,38.72335626,47.74505966,56.11816418,66.48838147,43.11673696,61.19910509,62.68375417,83.75,58.13176055,68.8382590252589,76.43421932,62.60533903,56.29404538,84.0496487,64.8080427
5,08087,Morgan,Colorado,53.190772,34.7207638,54.31316032,59.0372714,52.57565204,62.96516555,46.7712112199999,42.2256036599999,49.73571381,49.45531993,90.0,44.51307725,43.1181122599999,67.37817246,29.8849622299999,72.58255929,48.42481139,65.69820976,57.21487057,53.48224492,59.20739038,59.613327,69.25889386,51.51178299384,57.08945435,46.15692053,51.2889741,67.46155306,59.05543598,38.06959458,58.06278101,69.91626669,51.76470588,47.94313285,56.3571222560261,56.03568239,50.01489303,56.00766772,61.15028704,58.5770811
6,41045,Malheur,Oregon,50.029751,57.86311365,41.84490195,59.1356559899999,51.86842403,54.7079256099999,43.9120673199999,40.7238999799999,50.40898069,41.35807178,90.0,35.84832651,44.46338396,51.06593086,45.44517685,37.40072467,36.17910335,46.65502736,49.86046445,49.58683116,60.74254478,63.63798063,66.33798681,58.030112773127,62.94411225,50.99260404,60.15362203,60.56087878,48.91413607,37.88473473,52.87666708,72.30933334,54.58333333,41.99225518,42.6177865789259,52.94038964,44.86389182,42.08324788,33.56278582,39.63861773
7,34023,Middlesex,New Jersey,56.571742,57.36498253,54.75349427,58.93528787,51.53557327,59.6662889999999,47.70708625,42.98026602,47.3771384,41.46687484,13.0372240099999,39.34602186,44.44746112,16.93593907,53.02433167,61.45063067,56.00445708,56.01708222,51.55347518,58.06138404,65.53527048,63.40379577,68.00079835,54.5412412532498,60.77800216,44.91025586,57.93546574,50.40324106,73.00364377,58.50613603,41.19440754,75.80334423,70.66225166,71.93925305,42.5374099214337,42.54054454,43.01118153,41.83909376,39.75105107,45.54517871
8,20167,Russell,Kansas,50.394756,90.0,31.68428924,59.37247491,52.96869214,67.78715114,49.0383777099999,45.46583204,49.09811982,51.1883507,90.0,44.89454861,50.5535676599999,67.42099765,53.7809883799999,36.96094632,29.59957056,42.83239173,66.88788121,52.72485139,60.54195219,58.53635295,66.4621828,55.9576596194647,47.13332961,64.99758224,55.742067,58.75358775,50.61140955,37.3294039,48.73349215,67.53169982,71.81818182,36.50087056,40.9045256275001,56.11871221,47.63156915,39.13994677,31.81894516,29.81345485
9,17155,Putnam,Illinois,57.34785,34.7207638,61.53243797,59.10602866,52.67774321,60.26268271,48.4601376299999,45.0148013399999,48.4180351899999,55.12341827,88.96660095,38.7997091399999,50.2474567599999,65.6557755999999,42.96288397,76.2514463,59.85592032,72.004869,68.59604764,51.09579016,54.33559938,47.0302817,74.73527982,49.2124602644382,56.4474977,41.23543649,49.9544466,68.51830561,66.28011909,34.60867907,59.59177027,75.51869109,83.33333333,58.46518576,65.377481503163,64.80864988,58.76851264,61.69678378,78.35208411,63.2613771
10,46055,Haakon,South Dakota,57.026013,49.12756064,66.82410954,59.76080683,53.3711870799999,66.8041131899999,46.5996214099999,46.97468181,47.55006703,53.5991678199999,90.0,44.11889509,57.84359689,60.7464681599999,38.23065806,70.98627529,55.15254474,57.49344657,52.86515728,52.34245714,53.43110095,68.80158772,68.28231397,48.326446915516,41.49807012,48.48311976,54.99815087,58.72455113,57.21513487,36.77933054,54.31336082,64.01576035,90.0,48.74724311,55.6612291852752,64.79861029,52.60694595,52.3505077,54.64973398,53.90034801
11,47111,Macon,Tennessee,50.005591,49.12756064,44.96708652,58.76022082,51.3844337199999,54.82616043,47.83393739,40.5833415999999,47.4167928199999,34.1281409999999,72.43091139,40.8182028299999,45.55710182,62.53566868,41.93337625,47.01487205,48.76221275,48.48646623,47.22666115,50.28145244,61.36769084,42.74962435,58.30078296,55.2485549847427,53.75396431,48.59090349,63.40079715,58.21992194,54.46861353,45.20155744,47.96432696,71.63709915,62.72727273,52.34636389,40.0077346808707,35.37101815,46.51049113,45.03892034,33.16233807,39.95590572
